Session ID,User ID,Vehicle_Variant_ID,Station_Variant_ID,Date,TimeOfDay_ID,Charging Duration (hours),Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD)
S4508,User_280,V51,S547,2024-04-07,2,1.433,15.835,11.005,15.59
S6132,User_1084,V122,S498,2024-04-07,2,1.333,64.702,48.086,24.58
S5227,User_642,V70,S599,2024-04-07,2,2.6,42.39,16.287,34.36
S5709,User_876,V9,S154,2024-04-07,2,0.617,47.23,76.515,10.04
S5421,User_741,V119,S565,2024-04-07,2,1.417,72.429,51.107,22.6
S4861,User_456,V113,S372,2024-04-07,2,2.333,69.222,29.62,30.79
S4203,User_124,V42,S602,2024-04-07,3,2.683,7.83,2.901,36.4
S5124,User_589,V9,S489,2024-04-07,3,2.217,69.784,31.466,29.01
S4523,User_289,V58,S333,2024-04-07,3,2.633,35.528,13.457,26.63
S5784,User_917,V52,S8,2024-04-07,3,2.483,13.467,5.387,12.88
S6512,User_1287,V42,S1109,2024-04-07,3,1.117,52.303,46.237,30.9
S5359,User_711,V74,S617,2024-04-07,3,3.433,9.774,2.837,31.61
S6535,User_1299,V16,S923,2024-04-07,3,3.15,26.054,8.244,29.79
S6095,User_1068,V74,S278,2024-04-07,3,3.183,44.125,13.8,24.31
S4882,User_465,V126,S975,2024-04-07,3,0.65,19.064,29.213,5.53
S5686,User_864,V122,S993,2024-04-07,3,2.783,5.314,1.906,23.8
S4217,User_131,V62,S528,2024-04-07,3,1.567,43.726,27.858,32.82
S4436,User_242,V160,S715,2024-04-07,3,2.983,42.396,14.148,25.42
S6174,User_1108,V74,S996,2024-04-07,3,2.783,11.262,4.032,23.45
S5537,User_794,V119,S1,2024-04-07,3,2.1,60.505,28.786,27.13
S4759,User_406,V74,S533,2024-04-07,3,0.817,5.0,6.056,23.04
S5918,User_982,V16,S1073,2024-04-07,3,2.683,58.861,21.87,32.39
S5026,User_535,V42,S501,2024-04-07,3,2.95,19.848,6.711,11.63
S5861,User_953,V21,S1200,2024-04-07,3,1.633,13.444,8.212,17.11
S5516,User_783,V142,S888,2024-04-07,3,2.883,5.363,1.858,25.13
S4469,User_259,V122,S579,2024-04-07,3,1.9,5.465,2.86,10.23
S6147,User_1093,V119,S830,2024-04-07,1,2.283,50.388,22.014,41.45
S5040,User_543,V108,S519,2024-04-07,1,2.533,30.081,11.832,30.8
S4697,User_374,V51,S43,2024-04-07,1,1.25,45.187,35.938,19.95
S4341,User_196,V51,S113,2024-04-07,1,3.95,9.149,2.307,31.22
S4505,User_279,V50,S640,2024-04-07,1,1.017,62.672,60.903,15.38
S6457,User_1252,V42,S1038,2024-04-07,1,2.233,29.917,13.321,26.71
S4287,User_167,V12,S109,2024-04-07,1,0.783,61.375,77.099,19.2
S4667,User_359,V160,S1046,2024-04-07,1,2.067,34.487,16.659,35.03
S5164,User_612,V147,S1186,2024-04-07,1,1.7,54.06,31.705,34.26
S5400,User_730,V147,S864,2024-04-07,1,0.633,63.733,99.737,33.8
S4305,User_176,V122,S924,2024-04-07,1,3.15,7.306,2.31,9.52
S4127,User_81,V69,S548,2024-04-07,4,2.1,52.647,25.061,17.4
S4816,User_433,V9,S283,2024-04-07,4,2.15,44.297,20.489,14.84
S4013,User_22,V74,S1036,2024-04-07,4,0.8,63.231,78.766,35.55
S5201,User_628,V119,S445,2024-04-07,4,1.45,44.545,30.706,47.41
S5524,User_788,V9,S646,2024-04-07,4,2.817,28.193,9.961,15.43
S4372,User_211,V58,S164,2024-04-07,4,2.45,71.389,28.987,15.58
S5041,User_543,V108,S519,2024-04-07,4,2.067,31.341,15.157,30.68
S5249,User_654,V82,S227,2024-04-07,4,0.9,43.357,48.046,24.12
S5806,User_927,V126,S731,2024-04-07,4,1.717,5.0,2.889,36.99
S5662,User_852,V85,S849,2024-04-07,4,0.533,66.116,122.906,39.44
S5684,User_863,V42,S581,2024-04-07,4,2.6,55.608,21.304,29.74
S5296,User_681,V86,S394,2024-04-07,4,1.933,25.201,13.003,13.1
S6280,User_1161,V135,S177,2024-04-07,4,2.05,77.886,37.929,15.56
S5391,User_726,V138,S729,2024-04-07,4,3.433,53.871,15.655,19.39
S5840,User_943,V51,S536,2024-04-07,4,2.767,55.736,20.114,35.92
S5496,User_776,V147,S367,2024-04-07,4,0.5,17.099,33.257,13.77
S4729,User_390,V107,S825,2024-04-07,4,2.0,17.471,8.684,30.43
S5501,User_778,V70,S981,2024-04-08,4,3.417,19.001,5.56,23.91
S5984,User_1013,V70,S992,2024-04-08,4,0.967,43.951,45.39,32.47
S5407,User_734,V119,S631,2024-04-08,4,3.133,67.087,21.368,30.56
S5482,User_770,V150,S575,2024-04-08,4,2.617,14.345,5.453,30.54
S6522,User_1292,V7,S355,2024-04-08,4,0.5,54.616,107.953,23.28
S6390,User_1219,V74,S853,2024-04-08,4,2.9,28.748,9.88,33.03
S5454,User_757,V78,S818,2024-04-08,4,2.8,75.573,26.884,5.29
S4198,User_121,V122,S165,2024-04-08,4,1.15,83.444,71.916,4.92
S4514,User_285,V160,S182,2024-04-08,4,2.05,14.691,7.143,25.93
S5281,User_673,V70,S37,2024-04-08,4,1.567,85.53,54.026,35.88
S4272,User_160,V62,S375,2024-04-08,4,2.467,41.261,16.622,37.83
S5373,User_719,V107,S1029,2024-04-08,4,1.35,91.162,66.997,35.78
S5220,User_638,V78,S878,2024-04-08,4,2.583,87.288,33.593,10.78
S6313,User_1181,V113,S545,2024-04-08,4,2.8,20.123,7.18,17.5
S4055,User_43,V16,S785,2024-04-08,2,2.45,11.183,4.538,33.47
S4443,User_246,V50,S698,2024-04-08,2,1.85,30.556,16.474,9.58
S4550,User_299,V12,S35,2024-04-08,2,3.433,21.306,6.176,19.41
S5979,User_1011,V160,S39,2024-04-08,2,1.6,11.422,7.09,37.93
S6474,User_1264,V142,S1017,2024-04-08,2,1.917,37.214,19.39,34.77
S4171,User_104,V125,S933,2024-04-08,2,0.95,7.042,7.404,32.43
S4584,User_318,V119,S1108,2024-04-08,2,1.6,41.269,25.537,39.22
S4968,User_508,V12,S1123,2024-04-08,2,3.467,79.68,22.933,25.61
S4926,User_486,V62,S532,2024-04-08,2,2.817,65.119,23.08,36.45
S6061,User_1051,V12,S429,2024-04-08,2,1.833,33.717,18.363,23.9
S6054,User_1048,V51,S988,2024-04-08,2,0.833,13.41,15.877,16.64
S5190,User_623,V23,S1164,2024-04-08,2,1.833,14.402,7.81,11.65
S5710,User_877,V160,S169,2024-04-08,2,1.433,5.0,3.475,20.21
S4864,User_457,V82,S9,2024-04-08,2,2.767,79.082,28.45,29.09
S5835,User_942,V74,S936,2024-04-08,2,2.35,63.855,27.004,41.84
S4791,User_420,V16,S444,2024-04-08,2,2.217,41.998,18.833,7.99
S4381,User_215,V50,S417,2024-04-08,2,1.017,53.316,52.076,37.25
S5388,User_725,V160,S717,2024-04-08,2,0.65,8.994,13.743,29.92
S5761,User_905,V16,S274,2024-04-08,2,2.9,11.552,3.978,24.25
S5102,User_576,V86,S350,2024-04-08,2,2.883,5.0,1.727,15.03
S5652,User_847,V12,S957,2024-04-08,2,1.867,58.737,31.305,8.68
S6099,User_1069,V147,S566,2024-04-08,2,1.217,18.51,15.118,24.75
S4859,User_454,V74,S73,2024-04-08,2,2.317,16.974,7.297,26.16
S6392,User_1219,V74,S853,2024-04-08,2,1.4,33.98,24.057,38.07
S5582,User_816,V7,S1094,2024-04-08,2,1.983,5.744,2.873,33.89
S6159,User_1102,V160,S603,2024-04-08,2,2.7,28.127,10.367,39.26
S5267,User_666,V142,S404,2024-04-08,2,2.35,15.467,6.565,7.11
S5809,User_928,V12,S380,2024-04-08,2,3.25,38.508,11.846,32.1
S4503,User_278,V53,S387,2024-04-08,2,2.117,18.912,8.92,9.63
S5849,User_948,V12,S1031,2024-04-08,2,1.467,26.266,17.863,32.15
S5084,User_567,V58,S215,2024-04-08,2,1.4,73.86,52.608,32.73
S6397,User_1221,V119,S549,2024-04-08,2,1.917,46.294,23.987,32.04
S4361,User_207,V82,S34,2024-04-08,2,2.317,84.452,36.213,11.88
S5986,User_1014,V147,S250,2024-04-08,2,2.367,5.0,2.106,23.41
S5322,User_695,V150,S21,2024-04-08,2,0.7,75.394,106.488,33.32
S4376,User_213,V56,S1009,2024-04-08,2,0.667,74.971,110.734,14.87
S5598,User_823,V126,S1000,2024-04-08,2,2.1,27.577,13.116,22.78
S3994,User_14,V119,S623,2024-04-08,2,1.7,18.42,10.784,36.27
S5970,User_1008,V142,S991,2024-04-08,2,3.733,34.96,9.346,10.7
S5069,User_557,V51,S904,2024-04-08,2,3.533,64.574,18.225,2.16
S6406,User_1224,V58,S1134,2024-04-08,3,0.65,24.794,37.575,11.35
S5842,User_945,V50,S214,2024-04-08,3,3.117,60.24,19.248,34.83
S5243,User_650,V101,S638,2024-04-08,3,3.05,54.606,17.877,39.92
S6385,User_1215,V150,S620,2024-04-08,3,1.267,12.901,10.115,12.85
S5899,User_972,V70,S1156,2024-04-08,3,3.85,27.825,7.205,39.99
S6112,User_1075,V82,S1086,2024-04-08,3,3.4,41.73,12.215,34.87
S6288,User_1166,V128,S189,2024-04-08,3,3.017,17.33,5.72,16.53
S4236,User_141,V160,S1005,2024-04-08,3,2.917,45.722,15.668,30.74
S4332,User_190,V42,S331,2024-04-08,3,3.783,7.966,2.098,19.54
S4698,User_375,V142,S125,2024-04-08,3,1.833,28.712,15.65,32.6
S4223,User_134,V82,S89,2024-04-08,3,3.883,36.282,9.31,24.73
S4304,User_176,V122,S924,2024-04-08,3,2.65,6.565,2.473,8.38
S6264,User_1153,V58,S944,2024-04-08,3,3.717,5.0,1.34,10.46
S5731,User_888,V70,S947,2024-04-08,3,0.867,63.065,72.125,32.26
S5196,User_626,V116,S997,2024-04-08,3,3.2,12.833,3.996,16.14
S5534,User_793,V23,S390,2024-04-08,3,2.2,32.724,14.86,17.96
S5606,User_826,V74,S765,2024-04-08,3,2.467,10.287,4.146,22.98
S4887,User_467,V122,S116,2024-04-08,3,2.133,51.547,24.067,30.73
S5832,User_940,V133,S1018,2024-04-08,3,1.133,64.398,56.368,7.33
S5432,User_746,V50,S190,2024-04-08,3,0.75,47.764,63.027,34.58
S5551,User_801,V46,S677,2024-04-08,3,1.333,40.295,30.028,26.41
S6446,User_1245,V154,S965,2024-04-08,3,1.95,62.064,31.805,36.46
S5677,User_859,V142,S407,2024-04-08,3,0.833,39.731,47.572,13.1
S5135,User_595,V9,S604,2024-04-08,1,1.417,5.0,3.507,33.32
S4818,User_433,V9,S283,2024-04-08,1,1.55,47.492,30.555,17.07
S5331,User_699,V126,S714,2024-04-08,1,2.483,36.159,14.499,9.54
S4189,User_114,V58,S307,2024-04-08,1,1.3,28.844,21.962,8.3
S4908,User_478,V150,S295,2024-04-08,1,3.683,34.015,9.226,30.88
S6486,User_1272,V119,S642,2024-04-08,1,2.033,5.0,2.449,24.43
S4913,User_481,V160,S107,2024-04-08,1,1.533,37.438,24.221,16.7
S5385,User_724,V7,S26,2024-04-08,1,3.383,46.3,13.684,25.19
S5180,User_619,V2,S770,2024-04-08,1,3.25,23.342,7.155,0.74
S4868,User_459,V109,S332,2024-04-08,1,3.033,67.786,22.253,10.91
S4128,User_81,V69,S548,2024-04-08,1,2.05,50.7,24.731,16.87
S6424,User_1234,V122,S607,2024-04-08,1,2.05,54.303,26.29,30.84
S4714,User_383,V147,S1183,2024-04-08,1,0.767,74.626,96.884,13.82
S6455,User_1250,V9,S495,2024-04-08,1,3.6,16.16,4.468,3.59
S4906,User_476,V82,S1013,2024-04-08,4,1.783,30.246,16.839,36.96
S4050,User_40,V126,S377,2024-04-08,4,3.633,70.509,19.359,8.42
S6310,User_1179,V70,S33,2024-04-08,4,3.683,5.367,1.453,33.53
S4854,User_452,V16,S427,2024-04-08,4,1.967,55.961,28.351,7.2
S3999,User_16,V126,S139,2024-04-08,4,2.167,31.684,14.542,32.8
S5395,User_727,V3,S1092,2024-04-08,4,2.367,36.768,15.534,31.26
S6150,User_1095,V50,S859,2024-04-08,4,1.95,9.821,4.998,35.79
S5132,User_594,V113,S318,2024-04-08,4,1.617,89.434,55.009,9.22
S5926,User_987,V74,S284,2024-04-08,4,1.317,29.329,22.26,10.56
S5993,User_1017,V86,S998,2024-04-08,4,3.417,70.238,20.535,40.53
S5418,User_738,V9,S300,2024-04-08,4,2.567,67.173,26.094,33.39
S5087,User_568,V82,S576,2024-04-08,4,1.633,43.044,26.207,21.12
S6234,User_1138,V58,S791,2024-04-09,4,0.767,48.827,62.495,23.97
S4669,User_360,V78,S1126,2024-04-09,4,2.067,28.107,13.582,7.01
S4052,User_42,V160,S977,2024-04-09,4,1.45,43.906,30.0,25.19
S3997,User_15,V16,S1196,2024-04-09,4,2.117,11.223,5.278,20.25
S6460,User_1254,V9,S158,2024-04-09,4,0.8,40.615,50.166,9.76
S5465,User_763,V70,S974,2024-04-09,4,0.683,74.032,106.022,11.09
S6128,User_1083,V122,S1206,2024-04-09,4,0.983,34.013,34.121,34.74
S5671,User_856,V23,S730,2024-04-09,4,2.083,48.274,23.019,8.63
S4231,User_138,V122,S932,2024-04-09,4,2.783,25.556,9.171,34.67
S5234,User_645,V78,S798,2024-04-09,4,3.133,6.436,2.048,12.55
S4367,User_209,V19,S310,2024-04-09,4,3.717,75.54,20.321,32.62
S4342,User_196,V51,S113,2024-04-09,4,2.033,7.244,3.534,33.02
S5294,User_680,V70,S1063,2024-04-09,4,1.15,5.0,4.327,14.68
S4026,User_30,V12,S907,2024-04-09,4,1.15,57.627,49.679,30.59
S5623,User_834,V163,S546,2024-04-09,2,3.65,5.0,1.368,37.29
S6361,User_1203,V59,S184,2024-04-09,2,2.9,61.655,21.252,35.03
S6148,User_1094,V113,S260,2024-04-09,2,1.233,36.253,29.125,5.33
S4623,User_335,V9,S248,2024-04-09,2,1.7,110.464,64.963,19.23
S5922,User_984,V119,S494,2024-04-09,2,2.15,25.916,12.009,10.35
S4544,User_297,V78,S292,2024-04-09,2,1.2,5.0,4.113,40.89
S3965,User_1,V27,S784,2024-04-09,2,1.967,60.849,30.681,13.16
S4399,User_226,V142,S654,2024-04-09,2,1.317,49.197,37.077,5.07
S5079,User_564,V12,S1130,2024-04-09,2,3.333,38.525,11.546,5.33
S4353,User_202,V58,S823,2024-04-09,2,3.033,45.627,14.984,6.78
S5126,User_590,V154,S926,2024-04-09,2,3.567,5.0,1.399,30.67
S5693,User_867,V9,S686,2024-04-09,2,3.283,63.734,19.402,39.45
S6218,User_1131,V127,S437,2024-04-09,2,1.083,36.854,33.937,7.92
S6239,User_1140,V12,S1059,2024-04-09,2,2.767,10.402,3.755,22.79
S6527,User_1294,V113,S30,2024-04-09,2,1.15,9.466,8.182,20.26
S4262,User_155,V42,S721,2024-04-09,2,3.017,61.889,20.457,7.64
S6407,User_1225,V42,S1076,2024-04-09,2,3.917,7.77,1.981,20.34
S5495,User_776,V147,S367,2024-04-09,2,2.967,22.849,7.702,14.26
S5260,User_660,V51,S810,2024-04-09,2,1.333,5.0,3.734,34.86
S4506,User_280,V51,S547,2024-04-09,2,1.683,13.691,8.087,15.32
S5378,User_721,V42,S369,2024-04-09,3,1.05,20.699,19.639,11.96
S5290,User_677,V74,S151,2024-04-09,3,3.433,45.656,13.255,18.27
S4903,User_475,V62,S563,2024-04-09,3,2.967,68.863,23.113,35.35
S4029,User_31,V62,S402,2024-04-09,3,2.483,15.602,6.257,34.59
S4655,User_352,V113,S61,2024-04-09,3,1.717,41.867,24.328,48.27
S5962,User_1004,V12,S397,2024-04-09,3,0.6,46.529,75.508,13.66
S5955,User_1000,V62,S808,2024-04-09,3,2.65,26.224,9.87,19.53
S6232,User_1138,V58,S791,2024-04-09,3,2.75,58.156,21.083,24.91
S6523,User_1292,V7,S355,2024-04-09,3,2.1,56.524,26.866,22.23
S4034,User_33,V23,S287,2024-04-09,3,1.75,19.109,10.819,25.62
S5433,User_746,V50,S190,2024-04-09,3,1.083,40.105,36.619,33.16
S5614,User_831,V23,S196,2024-04-09,3,1.2,49.206,40.527,32.27
S6274,User_1158,V147,S391,2024-04-09,3,0.55,42.461,75.707,13.69
S4517,User_286,V82,S451,2024-04-09,3,3.183,58.452,18.354,7.93
S4153,User_96,V35,S5,2024-04-09,3,2.233,5.0,2.223,40.47
S6558,User_1311,V147,S472,2024-04-09,1,2.167,58.75,27.033,40.99
S6059,User_1050,V160,S414,2024-04-09,1,1.7,7.94,4.636,9.4
S4590,User_320,V51,S964,2024-04-09,1,1.067,7.778,7.224,10.25
S5233,User_645,V78,S798,2024-04-09,1,0.833,5.099,6.109,12.26
S5549,User_800,V50,S428,2024-04-09,1,2.933,8.727,2.975,32.33
S4038,User_35,V51,S815,2024-04-09,1,3.617,56.589,15.62,33.77
S5734,User_890,V23,S315,2024-04-09,1,1.133,59.221,51.605,16.7
S4424,User_236,V119,S857,2024-04-09,1,2.6,13.101,5.02,33.5
S5082,User_566,V9,S551,2024-04-09,1,2.517,73.828,29.312,16.62
S6258,User_1149,V126,S173,2024-04-09,1,1.95,61.875,31.542,30.6
S4899,User_473,V113,S144,2024-04-09,1,3.783,50.366,13.303,37.72
S5255,User_657,V150,S419,2024-04-09,1,0.683,42.875,61.251,6.01
S5031,User_539,V122,S383,2024-04-09,1,3.467,5.0,1.441,29.65
S4258,User_153,V147,S674,2024-04-09,1,2.75,67.679,24.53,18.92
S5933,User_989,V62,S1193,2024-04-09,1,0.733,89.705,121.563,9.89
S4338,User_194,V113,S207,2024-04-09,1,1.917,33.072,17.139,41.92
S6044,User_1043,V64,S11,2024-04-09,4,1.233,11.647,9.363,27.06
S6068,User_1055,V74,S711,2024-04-09,4,1.733,24.378,14.029,7.04
S5974,User_1009,V7,S905,2024-04-09,4,2.083,53.791,25.749,39.3
S6570,User_1317,V23,S809,2024-04-09,4,0.967,79.028,81.326,5.23
S5098,User_574,V60,S276,2024-04-09,4,3.133,7.488,2.385,10.7
S4691,User_371,V126,S108,2024-04-09,4,0.883,5.0,5.562,40.28
S4201,User_123,V74,S320,2024-04-09,4,1.567,22.954,14.533,21.86
S4736,User_393,V82,S745,2024-04-09,4,1.667,66.603,39.847,31.23
S5097,User_573,V34,S111,2024-04-09,4,2.183,56.919,26.02,35.69
S4239,User_143,V12,S303,2024-04-09,4,3.65,40.003,10.93,27.75
S5335,User_701,V51,S553,2024-04-09,4,1.15,23.769,20.637,25.22
S6181,User_1111,V154,S1197,2024-04-09,4,1.417,40.552,28.423,16.16
S4862,User_456,V113,S372,2024-04-09,4,2.7,52.54,19.385,34.22
S4856,User_453,V82,S111,2024-04-10,4,1.383,68.381,49.234,10.54
S4975,User_511,V42,S765,2024-04-10,4,3.3,43.3,13.057,33.84
S6410,User_1227,V62,S636,2024-04-10,4,2.15,50.892,23.547,6.37
S5360,User_712,V74,S909,2024-04-10,4,1.617,12.326,7.555,34.91
S6050,User_1046,V51,S615,2024-04-10,4,2.033,82.3,40.383,38.14
S4016,User_23,V12,S117,2024-04-10,4,2.283,47.343,20.679,15.55
S5014,User_530,V74,S600,2024-04-10,4,2.133,17.926,8.338,9.78
S4074,User_51,V16,S40,2024-04-10,4,0.6,7.848,12.728,24.23
S4624,User_336,V113,S470,2024-04-10,4,1.3,80.792,61.842,20.04
S5127,User_590,V154,S926,2024-04-10,4,1.85,5.0,2.702,31.56
S4962,User_505,V50,S298,2024-04-10,4,2.483,57.269,23.037,28.13
S4330,User_189,V142,S1062,2024-04-10,4,1.317,63.574,47.946,36.09
S4692,User_372,V6,S930,2024-04-10,4,0.5,62.437,122.812,9.43
S5019,User_533,V107,S422,2024-04-10,4,3.633,78.513,21.556,23.58
S5782,User_915,V24,S751,2024-04-10,4,0.95,138.18,145.312,34.33
S4910,User_478,V150,S295,2024-04-10,4,2.633,32.57,12.363,28.48
S5379,User_721,V42,S369,2024-04-10,4,2.433,19.904,8.15,12.3
S6066,User_1055,V74,S711,2024-04-10,2,3.633,24.534,6.745,7.4
S6298,User_1173,V70,S106,2024-04-10,2,1.0,27.82,27.69,7.6
S5528,User_790,V154,S51,2024-04-10,2,1.083,46.262,42.447,12.55
S5161,User_610,V150,S515,2024-04-10,2,1.65,63.034,37.953,27.73
S6398,User_1221,V119,S549,2024-04-10,2,1.133,40.606,35.32,27.28
S4407,User_228,V107,S240,2024-04-10,2,0.683,24.178,34.6,8.0
S5347,User_705,V160,S443,2024-04-10,2,0.817,46.276,55.786,12.03
S6291,User_1167,V86,S582,2024-04-10,2,3.0,57.44,19.13,14.71
S5758,User_903,V86,S1112,2024-04-10,2,0.65,67.337,103.254,19.33
S4935,User_490,V126,S1173,2024-04-10,2,2.6,30.194,11.565,5.76
S5593,User_821,V140,S769,2024-04-10,2,3.317,61.598,18.53,9.02
S5765,User_907,V67,S1080,2024-04-10,2,3.867,5.0,1.29,9.32
S5414,User_737,V154,S24,2024-04-10,2,3.067,18.143,5.909,12.21
S6103,User_1072,V57,S616,2024-04-10,2,2.033,16.127,7.881,43.13
S5739,User_892,V82,S868,2024-04-10,2,3.25,68.566,21.047,26.14
S4375,User_213,V56,S1009,2024-04-10,2,1.45,76.589,52.387,13.92
S4344,User_197,V42,S899,2024-04-10,2,1.717,60.991,35.293,40.97
S5250,User_654,V82,S227,2024-04-10,2,1.717,43.81,25.512,23.84
S4059,User_44,V106,S645,2024-04-10,2,0.817,64.518,78.168,6.42
S6439,User_1241,V154,S103,2024-04-10,2,1.45,83.378,57.192,17.11
S5309,User_687,V87,S977,2024-04-10,2,3.733,5.845,1.562,37.41
S6370,User_1209,V107,S228,2024-04-10,2,1.233,36.655,29.418,33.49
S5521,User_786,V146,S503,2024-04-10,2,1.067,15.728,14.615,16.34
S4296,User_170,V16,S484,2024-04-10,2,2.667,62.266,23.233,15.71
S6432,User_1238,V160,S1180,2024-04-10,2,0.617,76.611,123.113,16.67
S4182,User_109,V42,S268,2024-04-10,2,3.933,15.825,4.01,34.88
S5571,User_811,V16,S531,2024-04-10,3,1.883,62.592,33.091,40.62
S5131,User_593,V82,S580,2024-04-10,3,1.517,33.215,21.715,8.83
S4555,User_301,V76,S1050,2024-04-10,3,1.45,62.695,43.18,10.18
S5406,User_733,V12,S242,2024-04-10,3,3.65,58.527,16.035,33.85
S4169,User_103,V12,S77,2024-04-10,3,2.4,54.651,22.634,16.92
S4174,User_107,V58,S1132,2024-04-10,3,1.017,7.381,7.229,33.17
S4291,User_168,V51,S610,2024-04-10,3,2.217,63.787,28.63,11.24
S4836,User_442,V77,S76,2024-04-10,3,2.783,19.442,6.945,28.77
S5732,User_889,V122,S818,2024-04-10,3,1.65,41.12,24.685,18.64
S6447,User_1246,V42,S789,2024-04-10,3,1.667,51.622,30.751,19.74
S6093,User_1067,V5,S962,2024-04-10,3,0.883,34.817,38.924,29.12
S4634,User_341,V160,S483,2024-04-10,3,0.95,6.048,6.339,25.51
S5901,User_973,V70,S583,2024-04-10,3,2.217,37.895,17.058,7.42
S5624,User_834,V163,S546,2024-04-10,3,2.233,5.0,2.227,39.78
S4109,User_71,V150,S1153,2024-04-10,3,3.75,58.613,15.585,15.78
S4132,User_84,V74,S520,2024-04-10,3,3.667,31.541,8.602,37.94
S4101,User_67,V126,S644,2024-04-10,3,2.517,34.002,13.491,34.85
S4919,User_483,V119,S85,2024-04-10,3,3.817,38.167,9.991,21.78
S4200,User_123,V74,S320,2024-04-10,3,0.817,23.842,28.717,18.22
S5468,User_764,V86,S1205,2024-04-10,3,2.767,78.646,28.347,5.3
S4202,User_124,V42,S602,2024-04-10,3,0.833,6.545,7.741,31.46
S5300,User_683,V113,S1065,2024-04-10,3,0.7,9.075,12.67,18.47
S5867,User_955,V150,S361,2024-04-10,3,3.15,49.172,15.574,15.15
S4561,User_304,V78,S915,2024-04-10,3,1.083,66.312,60.904,32.2
S4283,User_166,V122,S1002,2024-04-10,3,2.083,12.388,5.913,28.95
S6380,User_1213,V62,S481,2024-04-10,3,2.233,45.048,20.083,30.87
S5032,User_540,V9,S764,2024-04-10,3,1.867,51.23,27.272,8.67
S5597,User_822,V23,S1049,2024-04-10,1,1.95,8.142,4.159,5.38
S4398,User_225,V147,S900,2024-04-10,1,2.35,57.647,24.425,17.3
S4572,User_309,V82,S764,2024-04-10,1,0.85,44.657,52.452,20.44
S4593,User_321,V122,S1176,2024-04-10,1,1.667,21.486,12.764,19.44
S4722,User_386,V160,S1191,2024-04-10,1,1.083,55.522,50.556,21.88
S5509,User_781,V115,S881,2024-04-10,1,0.533,15.584,28.932,17.59
S4180,User_109,V42,S268,2024-04-10,1,2.0,11.529,5.761,30.78
S6362,User_1204,V150,S288,2024-04-10,1,2.667,81.082,30.222,22.33
S5843,User_945,V50,S214,2024-04-10,1,1.333,60.48,45.03,35.24
S5561,User_806,V113,S412,2024-04-10,1,2.0,5.0,2.498,35.98
S6033,User_1037,V113,S207,2024-04-10,1,2.4,5.57,2.307,9.37
S6415,User_1230,V72,S132,2024-04-10,4,3.4,22.473,6.59,11.37
S6381,User_1214,V18,S1150,2024-04-10,4,1.033,39.068,37.688,40.24
S5435,User_747,V62,S803,2024-04-10,4,2.467,5.68,2.294,31.26
S5333,User_700,V113,S835,2024-04-10,4,2.85,27.803,9.71,24.28
S5981,User_1011,V160,S39,2024-04-10,4,2.117,8.61,4.061,37.22
S4001,User_17,V22,S294,2024-04-10,4,2.617,22.256,8.479,15.97
S4279,User_164,V147,S747,2024-04-10,4,3.5,73.299,20.928,9.09
S4333,User_191,V126,S14,2024-04-10,4,2.383,54.758,22.871,7.15
S6047,User_1044,V160,S265,2024-04-10,4,2.35,18.907,8.004,27.76
S4251,User_149,V107,S54,2024-04-10,4,0.933,80.221,84.567,34.59
S5713,User_878,V98,S178,2024-04-10,4,0.55,29.524,53.362,29.31
S4760,User_406,V74,S533,2024-04-10,4,1.483,5.0,3.333,24.62
S4300,User_173,V119,S725,2024-04-10,4,3.75,5.0,1.331,34.4
S5270,User_669,V96,S286,2024-04-10,4,1.05,41.109,38.849,37.87
S5411,User_735,V147,S1127,2024-04-10,4,2.75,67.567,24.555,24.91
S6246,User_1143,V147,S230,2024-04-10,4,1.717,78.074,45.472,28.17
S6035,User_1039,V122,S894,2024-04-10,4,2.967,66.025,22.247,32.84
S6120,User_1079,V51,S204,2024-04-10,4,2.283,68.722,29.989,18.31
S5459,User_759,V70,S1045,2024-04-10,4,2.517,10.004,3.963,34.47
S5879,User_962,V122,S1195,2024-04-10,4,3.2,47.083,14.667,29.91
S4610,User_329,V113,S96,2024-04-11,4,2.7,55.658,20.566,29.76
S5688,User_865,V58,S584,2024-04-11,4,1.833,51.755,28.047,37.6
S4139,User_89,V16,S2,2024-04-11,4,3.05,30.201,9.902,14.9
S5587,User_818,V154,S611,2024-04-11,4,2.717,37.782,13.866,41.15
S6073,User_1058,V12,S776,2024-04-11,4,3.167,57.933,18.245,28.7
S4883,User_465,V126,S975,2024-04-11,4,3.717,20.201,5.432,4.84
S5797,User_924,V74,S788,2024-04-11,4,2.383,73.602,30.869,19.86
S4324,User_187,V89,S487,2024-04-11,4,2.333,59.116,25.167,24.62
S4166,User_102,V160,S828,2024-04-11,4,1.95,66.899,34.197,25.54
S6534,User_1298,V54,S934,2024-04-11,4,2.883,19.082,6.608,7.14
S6513,User_1287,V42,S1109,2024-04-11,4,2.7,46.846,17.315,31.38
S6537,User_1301,V74,S346,2024-04-11,4,3.433,29.481,8.549,16.28
S6430,User_1237,V147,S379,2024-04-11,4,0.783,5.0,6.347,30.41
S4400,User_226,V142,S654,2024-04-11,4,3.15,45.266,14.345,5.89
S5130,User_592,V154,S430,2024-04-11,4,3.0,26.133,8.7,7.06
S3973,User_4,V70,S622,2024-04-11,4,3.367,64.219,19.006,12.65
S6556,User_1310,V70,S1056,2024-04-11,4,3.367,15.497,4.596,28.71
